amt,city_pop,recency,displacement,Time,merchant_,category_,gender_,location_,recency_segment_,is_fraud
11.59,105549,-2706953.0,45.20782238247063,19,456,6,1,0,1,0
70.59,923,-24286746.0,31.175060423301474,15,449,10,1,2,1,0
1.84,42384,-33378388.0,30.750266065842577,12,401,13,0,2,1,0
4.19,9165,-1288292.0,88.26475749185862,7,417,9,1,0,1,0
8.24,307,-11063054.0,86.52534498499831,1,483,12,0,0,1,0
90.39,686,-13838248.0,79.22855482562677,9,443,11,1,0,1,0
90.0,229,-23308334.0,55.84747148786597,0,427,4,1,0,1,0
95.29,23805,-15769924.0,95.35564554346885,1,415,4,1,1,1,0
76.71,761,29456540.0,85.60451386876714,15,35,10,0,0,0,0
131.85,606,14047310.0,109.7091937281606,7,678,4,0,1,0,0
80.2,471,-13052705.0,137.79291814156684,13,54,10,1,1,1,0
24.19,4542,-12889403.0,85.3639471590166,17,35,10,0,0,1,0
58.26,1643,3540224.0,92.96258362010454,0,607,2,0,1,0,0
32.28,923,-9552916.0,95.50228122081917,15,453,10,1,1,1,0
81.4,172817,-7106449.0,55.144850315206284,7,518,2,1,0,1,0
4.83,1143,20659339.0,61.290296865704,12,161,10,0,0,0,0
20.37,27971,606296.0,79.84896301080613,17,8,11,0,0,0,0
7.5,46,14653276.0,141.5877291170937,15,307,13,0,1,0,0
3.64,2376,23132887.0,97.2110841618595,12,137,9,0,1,0,0
55.81,1126,-38971446.0,64.06446346870541,22,278,1,1,0,1,0
23.95,972,611952.0,97.77960998101442,21,406,5,1,1,0,0
15.51,743,-26708336.0,72.01644255045494,16,537,7,0,0,1,0
20.27,28425,40006164.0,53.81876717485192,23,167,0,0,0,0,0
26.31,19685,-77145.0,135.64929245717911,17,66,7,0,1,1,0
226.86,355,6796965.0,10.638933263715877,22,396,7,0,2,0,0
24.74,1675,14497981.0,62.621718769670906,16,182,10,0,0,0,0
75.74,14871,10608780.0,128.81809314769578,10,588,3,0,1,0,0
28.3,1631,11364063.0,98.49432617200338,12,449,10,0,1,0,0
69.02,93193,7321707.0,88.387369422726,7,358,2,1,0,0,0
47.24,258,-23745866.0,91.232711226508,4,235,8,1,1,1,0
170.18,269,708470.0,41.90299650027521,4,329,4,1,2,0,0
4.97,107941,14804292.0,62.12241865409566,23,141,12,0,0,0,0
56.4,248,-37023700.0,60.45221332955491,1,659,12,0,0,1,0
73.13,2607,12217755.0,104.97599655278148,2,73,4,0,1,0,0
15.05,129,13072224.0,28.55254534463523,11,311,11,1,2,0,0
14.29,214518,15759343.0,68.49950601144896,0,214,9,1,0,0,0
68.03,757530,-1967258.0,88.50574863269176,2,607,2,1,0,1,0
178.03,276896,-7013381.0,91.77441039827279,18,483,12,1,1,1,0
37.7,4306,7862872.0,8.786611117585947,23,2,1,1,2,0,0
51.93,35371,9661461.0,79.59418559993279,15,310,12,0,0,0,0
478.25,126,-22287397.0,27.9821883150782,22,441,13,1,2,1,0
13.96,14871,9771116.0,82.13230717114138,16,520,10,0,0,0,0
81.84,229,-10285838.0,64.35125230829317,14,653,10,1,0,1,0
8.29,276896,8871627.0,41.83077900720069,15,254,10,1,2,0,0
11.39,749635,13521179.0,76.46216721753278,15,461,6,1,0,0,0
8.14,761,-19321192.0,91.51029126745458,1,189,11,0,1,1,0
27.01,105549,-3803951.0,65.56510974022726,19,266,0,1,0,1,0
190.84,1190,-4210091.0,70.59394686260879,6,533,4,0,0,1,0
8.79,1139,-6613301.0,147.37553712314008,4,140,8,0,1,1,0
74.09,35705,-16529537.0,134.78068255581778,3,590,2,1,1,1,0
86.36,13422,24232498.0,87.98963103641132,19,202,7,1,0,0,0
77.01,254282,-9972822.0,65.62175854263717,7,543,4,1,0,1,0
7.6,84861,-36773205.0,81.80842514681828,12,90,13,1,0,1,0
33.39,6951,-496394.0,53.21902190087439,19,159,10,0,0,1,0
7.98,23,13289300.0,83.3115171646086,11,438,12,0,0,0,0
20.47,269,-11301369.0,104.75333214270125,23,178,0,1,1,1,0
24.78,648,-6124944.0,77.16507987485483,0,300,8,1,0,1,0
1.18,222785,-36264973.0,106.28728438595012,11,670,12,0,1,1,0
102.78,295,20153746.0,109.44151242229718,21,310,12,1,1,0,0
1.4,35371,7283687.0,73.71587715369904,4,222,9,0,0,0,0
150.04,1274,-10594188.0,108.45951618327862,7,239,4,0,1,1,0
16.7,151815,-18560951.0,40.61986799682294,18,23,10,1,2,1,0
23.05,45303,-2377626.0,19.33328344480873,23,89,6,0,2,1,0
38.82,104,20877657.0,144.71464945394104,17,477,10,0,1,0,0
101.17,811,-12943150.0,122.45983126983683,22,558,6,0,1,1,0
206.62,320420,6976410.0,129.65472299199865,10,678,4,0,1,0,0
